Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Arab World,ARB,,,,,,,,,,,,,,,,,12.9058466050148,8.78884791957776,1.46695138453497,9.7310226044424,9.06923261660013,4.25093269783916,-3.52004782786028,-2.03859150874615,1.78715248943719,0.247636053243767,0.381485296817658,-0.281323734766289,4.59023813165584,1.79846690781464,7.73966260088686,5.44435876491509,4.22774754466172,2.83480501194757,3.61767317111281,2.845695855457,4.59719665704922,3.67023554008404,4.32345780767058,2.46814223025322,4.79112133994167,1.8736268903014,1.88055390935628,5.50754531156343,7.13814420730772,5.43894048583711,6.02658204803905,4.66186887215716,5.53757165528272,2.00650079129687,4.44209610060366,5.26954393079906,
Caribbean small states,CSS,,,,,,,,4.03471167898013,6.05221693538243,5.59646407312229,5.47253296392809,2.08447309392083,8.40819409203326,-0.597092343956817,-3.68564668004761,-1.23485723659419,-0.151998079566667,3.97441060240335,6.2527212362951,4.95730732184336,3.45311149893281,0.700055381668889,2.09568519749341,-2.30879582691547,0.746678304100953,-0.850860326038656,1.34980382034718,1.72253213542911,2.11284389256818,4.65348216595957,1.60372562434598,1.54777965346804,-0.253766221153114,3.11315135263311,2.71338780135706,2.85551232084298,2.51361474275345,1.9912385944364,2.91041899415609,3.66581485065218,3.55894424660406,1.72137102700248,4.04601019854934,6.68455560089181,5.00186113206733,4.43784379794884,7.91440189135774,3.62826259945905,1.43302880937857,-3.44905093904444,,,
East Asia & Pacific (all income levels),EAS,,7.72352593814074,7.01320605443109,8.17836431384515,10.9327097302423,6.3416114037795,9.63157147231732,9.33598918404475,11.1874682626338,11.965544496018,1.21965923792126,5.08551074256354,7.80540601833857,7.96796440251562,-0.0269038934758328,3.39552950049269,4.38644588876942,5.08062577966717,5.73481956651175,5.7552908392406,3.3109415659212,4.48709410786181,3.81601558647789,3.79300369199866,5.4166320788072,6.14915198803227,4.06066690050177,5.3252153093423,7.55043159964259,5.51709678836161,5.62827471206808,4.24229432017309,2.79562287071377,2.73587005600255,3.47436273374217,4.01779994945895,4.26369232041949,3.22798941751732,-1.05756150826527,2.31646430140043,4.15504367919992,1.94070515430016,2.93387811572845,3.66674629819445,4.63352400082742,4.09911528416835,4.84509085582201,5.69654395184604,2.48228941824011,-0.309148668251254,6.71322798381262,3.35612055541105,
East Asia & Pacific (developing only),EAP,,-12.8692152260774,-0.577760792056296,6.87820051184941,9.71115511937306,10.458865467712,8.2593142992278,-0.868729911335436,1.94380522437243,11.1335656079349,13.2421787915948,6.45761500499663,5.0826257579748,8.82808997017754,4.0371119739456,6.77799859673571,3.09528194588012,7.63797662970104,9.70704700647885,7.08651778654352,7.14214071274488,5.59764687145193,6.27837318746592,8.29397685266828,9.4244462242679,7.57108174662071,6.94314194682669,9.18497222424872,10.1090894834507,6.0442057752972,5.49318559668075,8.20792310378029,11.0290516020859,11.2773273531601,11.0380531593436,9.89039184737703,9.02399845568118,7.29024949935557,2.21824293509991,6.27526646819696,7.53385521616833,6.65510278001152,7.88373308882872,8.8112734118089,9.03158578691563,9.75506844540774,10.9003956018205,12.2817379939387,8.48001153286503,7.46392968983778,9.69359563318366,8.30048384696556,
Euro area,EMU,,6.62026354874871,6.35499327501282,5.70969277629787,5.50263125477647,4.92418210915162,5.23939211083643,5.23825978633343,5.48473288477538,6.93896197373829,5.61305890013158,3.78684525690541,4.81599428634935,6.19146137337924,3.2912083373739,-0.800709671927336,5.03799769790187,3.0835054480937,3.1006383426585,3.85994325743766,2.25533089639416,0.513071390914234,0.696379726590663,1.38650676402267,2.36687441072982,2.29979657076009,2.48147140147617,2.45555691510289,4.26462316175957,4.04265458659567,3.52357957643348,2.56563639121514,1.34111949204279,-0.704923241971073,2.4631336924396,2.41743038552997,1.55091623685341,2.6032244107832,2.7868958644853,2.88414165791002,3.77683197381882,1.97379771435658,0.91325174077086,0.709436917560978,2.19296701545598,1.67343450222862,3.24739384736633,2.99549016295686,0.380665779796118,-4.44178432987201,2.10411920627425,1.50975911869291,
Europe & Central Asia (all income levels),ECS,,5.24185442015732,4.72811498917731,5.10973191789184,5.53332541897018,4.46433418608487,4.31692896513447,4.37739061092918,4.93002090424599,5.47706512032262,5.71972244408883,3.43194222131444,4.56700262571972,6.19275847842577,2.37821029868788,-0.363907765057078,4.65597785689857,2.85587153881879,3.08857146070751,3.57082506010171,1.36011594082426,0.36416182665873,1.01887488150562,1.90841340331644,2.72050388785216,2.63430340598248,2.88696940149333,2.92112255521715,4.04639684891445,3.38550755358689,2.4760212040444,0.65873640934926,0.0026912003888242,-0.498879039265276,1.85299090297161,2.4535251886131,1.88735291071013,2.8916019024614,2.68867392795953,2.80722385192335,4.12927849277922,2.03144700149602,1.55050870993918,1.76666643997643,2.99493711235553,2.50493173143647,3.68213410792937,3.5796747199709,0.617074732883921,-4.34354362815139,2.54788277807671,1.94950280842663,
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.970788661934435,-5.02435412700974,-9.61230548481578,-4.35495705205599,-9.3554259554719,0.250139733691171,1.32912568039269,3.54329489361184,-0.656272384384607,1.19963684992382,7.50940399613921,1.5499400604718,5.47829135582813,6.52889374880922,8.41692998440399,7.23015292062881,7.94469399622623,7.26132866820812,3.8655473732355,-6.04640323785847,5.84494783960714,5.76846810484915,
European Union,EUU,,5.32952266322097,4.74647704023926,5.03509503652346,5.54194131458037,4.4858288952077,4.14367155357924,4.33097072280373,4.95075437870585,5.5406983950414,5.85467936861059,3.34864324261733,4.49893939013886,6.28008192870165,2.27971738184,-0.61413791255805,4.5053617533178,2.81108630142282,3.10579557314992,3.65127368163367,1.38252077591554,0.188030431244997,1.0528179807941,1.8462248691508,2.55461588086834,2.50810475110768,2.80813148319328,2.8169534496094,4.20578143097462,3.50048024128805,2.75494912084532,1.22430055000183,0.897364579245206,-0.197369221170433,2.90768547106775,2.7009419212425,1.90135388336469,2.75522389550507,2.94115808587516,2.97900840765838,3.88371439293653,2.12112742373078,1.2944055163334,1.45366138794158,2.53613589228871,2.06622334711541,3.30986339043507,3.22794528190404,0.276653559049578,-4.33358024418021,2.20307013834487,1.52100509959115,
Heavily indebted poor countries (HIPC),HPC,,1.09856716172393,6.33044412319863,3.47693084960487,4.2824786275832,4.48126578010759,3.21086380579378,2.66516691960675,2.79361100256115,4.3152292271088,4.29680258478675,4.08043488107957,2.22757592488996,2.92519912579606,5.74947258111871,2.87523631869395,4.51287773613724,4.37146197564344,2.72173371739363,-0.210987198613964,-0.368469115673946,3.92994500945719,1.16206943005335,0.604851726680096,0.955474637207843,0.889539795579907,2.92158229514381,3.26571845448997,0.852207827273602,2.14642110051872,-0.546964735056676,0.736024280982718,-0.546248003873515,1.26603871908929,-0.232131222113566,4.92602536191171,5.40498860726856,4.60810407937835,3.68030915167587,3.28237413974509,3.00725446854764,4.52380631348805,3.51009535397517,3.93445547616129,5.61508934375752,5.84998533255734,6.14874184079378,5.96191265151276,5.87549543431014,3.96541627236095,5.44127371115337,4.98817131590476,
High income,HIC,,4.7377934695381,5.98053789973878,5.33845198297509,6.69498596166275,5.70868703992799,6.34558979058144,4.66172438508011,6.3773028549615,5.91024697489233,2.09116530315887,3.85131931721001,5.7735917978095,6.58426422267229,0.906897734813299,0.477791245925488,4.96835550039975,4.02828796759324,4.49480768600479,4.03719242204845,1.31390243588825,2.15707460145327,0.215688944635417,2.99610422770191,4.82308762638564,3.93409643371135,3.19733666595607,3.41394014442089,4.89129026588884,4.00374282057936,3.23312036002534,1.36496290636239,2.0480274323145,1.4379196885623,3.18959284091915,2.68689838325851,2.96212092926262,3.36146074659212,2.28400830342912,3.29702642642997,3.93856396663877,1.3533486892311,1.57213361494637,2.10477724337966,3.1582325148551,2.57499221483397,2.93003024848795,2.67387161407164,0.0639046989508074,-3.72663820038011,3.28146400587634,1.53464794372947,
